from_id	from_name	direction	to_id	to_name	condition
37	Southwest Yard	W			routine 0x17404
37	Southwest Yard	NW			routine 0x17404
37	Southwest Yard	IN			routine 0x283DC
37	Southwest Yard	OUT	515	Southwest of Ranch	if #513 (iron gate) is OPEN
42	North Bog	N	370	Promontory	
42	North Bog	E	306	Chasm's Brink	
42	North Bog	SE	575	Bottom of Stairs	
42	North Bog	S	319	South Bog	
42	North Bog	SW	472	Waterfall	
42	North Bog	W			routine 0x173B8
42	North Bog	NW			routine 0x173B8
43	Cliff Edge	N			routine 0x25368
43	Cliff Edge	NE			routine 0x25368
43	Cliff Edge	E			routine 0x25368
43	Cliff Edge	SE			routine 0x25368
43	Cliff Edge	SW			routine 0x253D0
56	Tundra	N	188	Tundra	
56	Tundra	NE	488	Under Platform	
56	Tundra	E	585	Tundra	
56	Tundra	SE			routine 0x25024
56	Tundra	S			routine 0x25024
56	Tundra	SW			routine 0x31C50
56	Tundra	W			routine 0x25024
56	Tundra	NW			routine 0x25024
76	Mesa	N			routine 0x1153C
76	Mesa	NE			routine 0x1153C
76	Mesa	E			routine 0x1153C
76	Mesa	SE			routine 0x1153C
76	Mesa	S			routine 0x22D1C
76	Mesa	SW			routine 0x1153C
76	Mesa	W			routine 0x1153C
76	Mesa	NW			routine 0x1153C
76	Mesa	IN			routine 0x22D28
76	Mesa	OUT			routine 0x111DC
79	The Wabe	N			routine 0x2252C
79	The Wabe	NE			routine 0x2253C
79	The Wabe	E			routine 0x173A0
79	The Wabe	SE			routine 0x2254C
79	The Wabe	S			routine 0x173A0
79	The Wabe	SW			routine 0x2255C
79	The Wabe	W			routine 0x173A0
79	The Wabe	NW			routine 0x2256C
79	The Wabe	IN			routine 0x111D0
79	The Wabe	OUT			routine 0x22518
80	Halfway	N			routine 0x23E18
80	Halfway	NE			routine 0x1153C
80	Halfway	E			routine 0x1153C
80	Halfway	SE			routine 0x1153C
80	Halfway	S			routine 0x23E28
80	Halfway	SW			routine 0x1153C
80	Halfway	W			routine 0x1153C
80	Halfway	NW			routine 0x1153C
80	Halfway	UP			routine 0x23E18
80	Halfway	DOWN			routine 0x23E28
80	Halfway	IN			routine 0x111D0
80	Halfway	OUT			routine 0x111DC
87	Underground	E	131	Underground	
87	Underground	W	30	Underground	
87	Underground	IN			routine 0x111D0
87	Underground	OUT			routine 0x111DC
88	that	IN	88	that	
109	Paved Road	N	465	Desert	
109	Paved Road	NE	465	Desert	
109	Paved Road	E	465	Desert	
109	Paved Road	SE	210	Northwest of Tower	
109	Paved Road	S	480	Desert	
109	Paved Road	SW	480	Desert	
109	Paved Road	W	480	Desert	
109	Paved Road	NW	534	Paved Road	
119	Tundra	N	254	Tundra	
119	Tundra	S	509	Tundra	
119	Tundra	SW	585	Tundra	
119	Tundra	W	488	Under Platform	
119	Tundra	NW	320	Tundra	
120	Paved Road	N	497	Desert	
120	Paved Road	NE	219	Southwest of Tower	
120	Paved Road	E	510	Desert	
120	Paved Road	SE	510	Desert	
120	Paved Road	S	510	Desert	
120	Paved Road	SW	544	Crossroads	
120	Paved Road	W	497	Desert	
120	Paved Road	NW	497	Desert	
121	Long Water	N			routine 0x229B0
121	Long Water	NE			routine 0x229B0
121	Long Water	E			routine 0x22984
121	Long Water	SE			routine 0x229B0
121	Long Water	S			routine 0x229B0
121	Long Water	SW			routine 0x229B0
121	Long Water	W			routine 0x229B0
121	Long Water	NW			routine 0x229B0
121	Long Water	IN			routine 0x22984
121	Long Water	OUT			routine 0x111DC
122	Northwest of Ranch	N	225	Foothills	
122	Northwest of Ranch	NE	225	Foothills	
122	Northwest of Ranch	E	558	Northeast of Ranch	
122	Northwest of Ranch	SE	297	Back Yard	if #52 (iron gate) is OPEN
122	Northwest of Ranch	S	515	Southwest of Ranch	
122	Northwest of Ranch	SW	239	Desert	
122	Northwest of Ranch	W	239	Desert	
122	Northwest of Ranch	NW	456	Shallow Crater	
122	Northwest of Ranch	IN	297	Back Yard	if #52 (iron gate) is OPEN
124	Earth Orbit, on a satellite	N			routine 0x24D24
124	Earth Orbit, on a satellite	NE			routine 0x24D24
124	Earth Orbit, on a satellite	E			routine 0x24D24
124	Earth Orbit, on a satellite	SE			routine 0x24D24
124	Earth Orbit, on a satellite	S			routine 0x24D24
124	Earth Orbit, on a satellite	SW			routine 0x24D24
124	Earth Orbit, on a satellite	W			routine 0x24D24
124	Earth Orbit, on a satellite	NW			routine 0x24D24
124	Earth Orbit, on a satellite	UP			routine 0x24D24
124	Earth Orbit, on a satellite	DOWN			routine 0x24D24
124	Earth Orbit, on a satellite	IN			routine 0x111D0
124	Earth Orbit, on a satellite	OUT			routine 0x111DC
127	Playground	N			routine 0x261C0
127	Playground	NE			routine 0x261C0
127	Playground	E			routine 0x26074
127	Playground	SE			routine 0x26094
127	Playground	S			routine 0x26094
127	Playground	SW			routine 0x173F4
127	Playground	W			routine 0x26058
127	Playground	NW			routine 0x173F4
127	Playground	DOWN			routine 0x26074
127	Playground	IN			routine 0x26074
127	Playground	OUT			routine 0x111DC
131	Underground	E			routine 0x25520
131	Underground	W	87	Underground	
131	Underground	IN			routine 0x254C8
131	Underground	OUT			routine 0x25520
132	Desert	N			routine 0x27BCC
132	Desert	NE			routine 0x27C1C
132	Desert	E			routine 0x27C1C
132	Desert	SE			routine 0x27BFC
132	Desert	S			routine 0x273AC
132	Desert	SW			routine 0x273AC
132	Desert	W			routine 0x27C4C
132	Desert	NW	174	Outside Blockhouse	
139	Northeast Yard	N			routine 0x17404
139	Northeast Yard	NE			routine 0x17404
139	Northeast Yard	E			routine 0x17404
139	Northeast Yard	SE			routine 0x17404
139	Northeast Yard	S			routine 0x2844C
139	Northeast Yard	W	214	Bedroom	if #532 (outside door) is OPEN
139	Northeast Yard	NW			routine 0x17404
139	Northeast Yard	UP			routine 0x2844C
139	Northeast Yard	IN	214	Bedroom	if #532 (outside door) is OPEN
144	Round Pond	N	531	Inverness Terrace	
144	Round Pond	NE	179	Lancaster Gate	
144	Round Pond	E	371	Lancaster Walk	
144	Round Pond	SE			routine 0x22104
144	Round Pond	S	79	The Wabe	
144	Round Pond	SW			routine 0x22104
144	Round Pond	W	354	Broad Walk	
144	Round Pond	NW	355	Black Lion Gate	
144	Round Pond	OUT			routine 0x22278
145	Crater	N			routine 0x239C4
145	Crater	NE			routine 0x239C4
145	Crater	E			routine 0x239C4
145	Crater	SE			routine 0x239C4
145	Crater	S			routine 0x239C4
145	Crater	SW			routine 0x239C4
145	Crater	W			routine 0x23A44
145	Crater	NW			routine 0x239C4
145	Crater	UP			routine 0x23A44
145	Crater	OUT			routine 0x23A44
146	Base of Tower	N	296	North of Tower	
146	Base of Tower	NE	381	Northeast of Tower	
146	Base of Tower	E	290	East of Tower	
146	Base of Tower	SE	456	Shallow Crater	
146	Base of Tower	S	466	South of Tower	
146	Base of Tower	SW	219	Southwest of Tower	
146	Base of Tower	W	311	West of Tower	
146	Base of Tower	NW	210	Northwest of Tower	
146	Base of Tower	UP			routine 0x26868
146	Base of Tower	OUT			routine 0x111DC
158	Tower Platform	N			routine 0x24E90
158	Tower Platform	NE			routine 0x24E90
158	Tower Platform	E	507	Shack	
158	Tower Platform	SE			routine 0x24E90
158	Tower Platform	S			routine 0x24E90
158	Tower Platform	SW			routine 0x24E90
158	Tower Platform	W			routine 0x24E90
158	Tower Platform	NW			routine 0x24E90
158	Tower Platform	DOWN			routine 0x26590
158	Tower Platform	IN	507	Shack	
159	Desert	N			routine 0x273AC
159	Desert	NE			routine 0x273AC
159	Desert	E			routine 0x2738C
159	Desert	SE	480	Desert	
159	Desert	S			routine 0x2736C
159	Desert	SW			routine 0x273AC
159	Desert	W			routine 0x273AC
159	Desert	NW			routine 0x273AC
166	Thin Air, on the giant bird	IN			routine 0x25E60
174	Outside Blockhouse	N	497	Desert	
174	Outside Blockhouse	NE	544	Crossroads	
174	Outside Blockhouse	E	132	Desert	
174	Outside Blockhouse	SE	132	Desert	
174	Outside Blockhouse	S	529	Desert	
174	Outside Blockhouse	SW			routine 0x26EC8
174	Outside Blockhouse	W	529	Desert	
174	Outside Blockhouse	NW			routine 0x26EB4
175	Bathroom	S	12	Spare Room	
175	Bathroom	IN	12	Spare Room	
175	Bathroom	OUT	12	Spare Room	
179	Lancaster Gate	N			routine 0x22104
179	Lancaster Gate	NE			routine 0x17388
179	Lancaster Gate	E			routine 0x22104
179	Lancaster Gate	SE			routine 0x22104
179	Lancaster Gate	S			routine 0x22764
179	Lancaster Gate	SW			routine 0x2277C
179	Lancaster Gate	W			routine 0x22770
179	Lancaster Gate	NW			routine 0x17388
179	Lancaster Gate	UP			routine 0x22658
179	Lancaster Gate	IN			routine 0x111D0
179	Lancaster Gate	OUT			routine 0x22104
180	Foothills	N			routine 0x273AC
180	Foothills	NE			routine 0x381CC
180	Foothills	E			routine 0x381CC
180	Foothills	SE			routine 0x381CC
180	Foothills	S			routine 0x274E0
180	Foothills	SW			routine 0x27508
180	Foothills	W	465	Desert	
180	Foothills	NW			routine 0x273AC
188	Tundra	N	380	Tundra	
188	Tundra	NE	320	Tundra	
188	Tundra	E	488	Under Platform	
188	Tundra	SE	585	Tundra	
188	Tundra	S	56	Tundra	
188	Tundra	SW			routine 0x25024
188	Tundra	W			routine 0x25024
188	Tundra	NW			routine 0x25024
199	Platform	N			routine 0x24E90
199	Platform	NE			routine 0x24E90
199	Platform	E			routine 0x24E90
199	Platform	SE			routine 0x24E90
199	Platform	S			routine 0x24E9C
199	Platform	SW			routine 0x24E90
199	Platform	W			routine 0x24E90
199	Platform	NW			routine 0x24E90
199	Platform	DOWN			routine 0x24F3C
199	Platform	IN			routine 0x24E9C
210	Northwest of Tower	N	465	Desert	
210	Northwest of Tower	NE	465	Desert	
210	Northwest of Tower	E	296	North of Tower	
210	Northwest of Tower	SE	146	Base of Tower	
210	Northwest of Tower	S	311	West of Tower	
210	Northwest of Tower	SW	480	Desert	
210	Northwest of Tower	W	480	Desert	
210	Northwest of Tower	NW	109	Paved Road	
213	Bluff	N			routine 0x1153C
213	Bluff	NE			routine 0x1153C
213	Bluff	E	327	Cottage	if #19 (front door) is OPEN
213	Bluff	SE	441	Crater's Edge	
213	Bluff	SW	306	Chasm's Brink	
213	Bluff	W			routine 0x1153C
213	Bluff	NW			routine 0x1153C
213	Bluff	IN	327	Cottage	if #19 (front door) is OPEN
214	Bedroom	E	139	Northeast Yard	if #532 (outside door) is OPEN
214	Bedroom	W	12	Spare Room	
214	Bedroom	IN	12	Spare Room	
214	Bedroom	OUT			routine 0x111DC
215	East Beach	N			routine 0x25A54
215	East Beach	NE			routine 0x25A90
215	East Beach	E			routine 0x25A90
215	East Beach	SE			routine 0x25A90
215	East Beach	S			routine 0x25A5C
215	East Beach	SW			routine 0x25A5C
215	East Beach	W			routine 0x173EC
215	East Beach	NW			routine 0x25A54
219	Southwest of Tower	N	311	West of Tower	
219	Southwest of Tower	NE	146	Base of Tower	
219	Southwest of Tower	E	466	South of Tower	
219	Southwest of Tower	SE	510	Desert	
219	Southwest of Tower	S	510	Desert	
219	Southwest of Tower	SW	120	Paved Road	
219	Southwest of Tower	W	497	Desert	
219	Southwest of Tower	NW	480	Desert	
222	Foothills	N			routine 0x27838
222	Foothills	NE			routine 0x27868
222	Foothills	E			routine 0x381CC
222	Foothills	SE			routine 0x381CC
222	Foothills	S	577	Desert	
222	Foothills	SW	577	Desert	
222	Foothills	W			routine 0x2787C
222	Foothills	NW			routine 0x2789C
224	North Beach	N			routine 0x25A90
224	North Beach	NE			routine 0x25A90
224	North Beach	E			routine 0x25A44
224	North Beach	SE			routine 0x25A44
224	North Beach	S			routine 0x173EC
224	North Beach	SW			routine 0x25A4C
224	North Beach	W			routine 0x25A4C
224	North Beach	NW			routine 0x25A90
225	Foothills	N	180	Foothills	
225	Foothills	NE			routine 0x381CC
225	Foothills	E			routine 0x381CC
225	Foothills	SE			routine 0x27714
225	Foothills	S			routine 0x2772C
225	Foothills	SW			routine 0x27760
225	Foothills	W			routine 0x2779C
225	Foothills	NW			routine 0x277D8
226	Paved Road	N	382	Paved Road	
226	Paved Road	NE	239	Desert	
226	Paved Road	E	577	Desert	
226	Paved Road	SE	577	Desert	
226	Paved Road	S	437	Behind the Shed	
226	Paved Road	SW	132	Desert	
226	Paved Road	W	132	Desert	
226	Paved Road	NW	293	Paved Road	
231	West Beach	N			routine 0x25A54
231	West Beach	NE			routine 0x25A54
231	West Beach	E			routine 0x173EC
231	West Beach	SE			routine 0x25A5C
231	West Beach	S			routine 0x25A5C
231	West Beach	SW			routine 0x25C5C
231	West Beach	W			routine 0x25C5C
231	West Beach	NW			routine 0x25C5C
236	Palace Gate	N	354	Broad Walk	
236	Palace Gate	NE	79	The Wabe	
236	Palace Gate	E	250	Flower Walk	
236	Palace Gate	SE			routine 0x17388
236	Palace Gate	S			routine 0x22104
236	Palace Gate	SW			routine 0x17388
236	Palace Gate	W			routine 0x17388
236	Palace Gate	NW			routine 0x17388
236	Palace Gate	IN			routine 0x111D0
236	Palace Gate	OUT			routine 0x22104
239	Desert	N			routine 0x27A00
239	Desert	NE			routine 0x27A30
239	Desert	E			routine 0x27A68
239	Desert	SE			routine 0x27A98
239	Desert	S	577	Desert	
239	Desert	SW			routine 0x27AB8
239	Desert	W	382	Paved Road	
239	Desert	NW			routine 0x27AE8
240	Hallway	N	297	Back Yard	
240	Hallway	E	21	Kitchen	if #435 (outer door) is OPEN
240	Hallway	S	37	Southwest Yard	
240	Hallway	W			routine 0x282C8
240	Hallway	DOWN			routine 0x282C8
240	Hallway	IN			routine 0x111D0
240	Hallway	OUT			routine 0x111DC
242	Underwater	UP			routine 0x28C14
242	Underwater	OUT			routine 0x28C14
247	Tower Landing	N			routine 0x266C0
247	Tower Landing	NE			routine 0x266C0
247	Tower Landing	E			routine 0x266C0
247	Tower Landing	SE			routine 0x266C0
247	Tower Landing	S			routine 0x266C0
247	Tower Landing	SW			routine 0x266C0
247	Tower Landing	W			routine 0x266C0
247	Tower Landing	NW			routine 0x266C0
247	Tower Landing	UP			routine 0x266C8
247	Tower Landing	DOWN			routine 0x266E0
247	Tower Landing	IN			routine 0x111D0
247	Tower Landing	OUT			routine 0x111DC
250	Flower Walk	N	371	Lancaster Walk	
250	Flower Walk	E			routine 0x22104
250	Flower Walk	W	236	Palace Gate	
250	Flower Walk	NW	79	The Wabe	
250	Flower Walk	OUT			routine 0x22278
254	Tundra	NE			routine 0x250CC
254	Tundra	S	119	Tundra	
254	Tundra	SW	488	Under Platform	
254	Tundra	W	320	Tundra	
290	East of Tower	N	381	Northeast of Tower	
290	East of Tower	NE	225	Foothills	
290	East of Tower	E	225	Foothills	
290	East of Tower	SE	225	Foothills	
290	East of Tower	S	456	Shallow Crater	
290	East of Tower	SW	466	South of Tower	
290	East of Tower	W	146	Base of Tower	
290	East of Tower	NW	296	North of Tower	
292	North of Reservoir	N	225	Foothills	
292	North of Reservoir	NE	225	Foothills	
292	North of Reservoir	E	225	Foothills	
292	North of Reservoir	SE	300	Under the Windmill	
292	North of Reservoir	S			routine 0x17410
292	North of Reservoir	SW	573	Front Yard	
292	North of Reservoir	W	558	Northeast of Ranch	
292	North of Reservoir	NW	225	Foothills	
293	Paved Road	N	510	Desert	
293	Paved Road	NE	510	Desert	
293	Paved Road	E	510	Desert	
293	Paved Road	SE	226	Paved Road	
293	Paved Road	S	132	Desert	
293	Paved Road	SW	132	Desert	
293	Paved Road	W	132	Desert	
293	Paved Road	NW	544	Crossroads	
296	North of Tower	N	465	Desert	
296	North of Tower	NE	180	Foothills	
296	North of Tower	E	381	Northeast of Tower	
296	North of Tower	SE	290	East of Tower	
296	North of Tower	S	146	Base of Tower	
296	North of Tower	SW	311	West of Tower	
296	North of Tower	W	210	Northwest of Tower	
296	North of Tower	NW	465	Desert	
297	Back Yard	N			routine 0x17404
297	Back Yard	NE			routine 0x17404
297	Back Yard	E	12	Spare Room	if #128 (screen door) is OPEN
297	Back Yard	S			routine 0x283DC
297	Back Yard	SW			routine 0x17404
297	Back Yard	W			routine 0x17404
297	Back Yard	NW	122	Northwest of Ranch	if #52 (iron gate) is OPEN
297	Back Yard	IN			routine 0x111D0
297	Back Yard	OUT	122	Northwest of Ranch	if #52 (iron gate) is OPEN
300	Under the Windmill	N	225	Foothills	
300	Under the Windmill	NE	225	Foothills	
300	Under the Windmill	E	225	Foothills	
300	Under the Windmill	SE	222	Foothills	
300	Under the Windmill	S	222	Foothills	
300	Under the Windmill	SW	559	South of Reservoir	
300	Under the Windmill	W			routine 0x17410
300	Under the Windmill	NW	292	North of Reservoir	
300	Under the Windmill	UP			routine 0x288C8
306	Chasm's Brink	N			routine 0x236F0
306	Chasm's Brink	NE	213	Bluff	
306	Chasm's Brink	E	400	Under Cliff	
306	Chasm's Brink	SE	557	The Bend	
306	Chasm's Brink	SW	319	South Bog	
306	Chasm's Brink	W	42	North Bog	
306	Chasm's Brink	NW	370	Promontory	
306	Chasm's Brink	UP			routine 0x23810
306	Chasm's Brink	DOWN			routine 0x23728
311	West of Tower	N	210	Northwest of Tower	
311	West of Tower	NE	296	North of Tower	
311	West of Tower	E	146	Base of Tower	
311	West of Tower	SE	466	South of Tower	
311	West of Tower	S	219	Southwest of Tower	
311	West of Tower	SW	497	Desert	
311	West of Tower	W	480	Desert	
311	West of Tower	NW	480	Desert	
316	Vertex	N			routine 0x1153C
316	Vertex	NE			routine 0x1153C
316	Vertex	E			routine 0x1153C
316	Vertex	SE			routine 0x1153C
316	Vertex	S			routine 0x23F3C
316	Vertex	SW			routine 0x1153C
316	Vertex	W			routine 0x1153C
316	Vertex	NW			routine 0x1153C
316	Vertex	DOWN			routine 0x23F3C
316	Vertex	IN			routine 0x111D0
316	Vertex	OUT			routine 0x111DC
317	Trellises	N	575	Bottom of Stairs	
317	Trellises	NE	557	The Bend	
317	Trellises	E	565	The River	
317	Trellises	SE	418	Arborvitaes	
317	Trellises	S			routine 0x173C4
317	Trellises	SW	580	Arborvitaes	
317	Trellises	W	426	Forest Clearing	
317	Trellises	NW	319	South Bog	
317	Trellises	IN			routine 0x111D0
317	Trellises	OUT			routine 0x111DC
319	South Bog	N	42	North Bog	
319	South Bog	NE	306	Chasm's Brink	
319	South Bog	E	575	Bottom of Stairs	
319	South Bog	SE	317	Trellises	
319	South Bog	S	426	Forest Clearing	
319	South Bog	SW			routine 0x24630
319	South Bog	W	472	Waterfall	
319	South Bog	UP			routine 0x24630
320	Tundra	E	254	Tundra	
320	Tundra	SE	119	Tundra	
320	Tundra	S	488	Under Platform	
320	Tundra	SW	188	Tundra	
320	Tundra	W	380	Tundra	
323	Summit	NE	319	South Bog	
323	Summit	E	426	Forest Clearing	
323	Summit	S	576	Meadow	
323	Summit	DOWN			routine 0x111E8
327	Cottage	E	417	Herb Garden	if #533 (back door) is OPEN
327	Cottage	W	213	Bluff	if #19 (front door) is OPEN
327	Cottage	OUT			routine 0x111DC
336	Edge of Reservoir	N			routine 0x28A98
336	Edge of Reservoir	NE			routine 0x28A90
336	Edge of Reservoir	E			routine 0x28A90
336	Edge of Reservoir	SE			routine 0x28A90
336	Edge of Reservoir	S			routine 0x28B00
336	Edge of Reservoir	SW			routine 0x28A90
336	Edge of Reservoir	W			routine 0x28A90
336	Edge of Reservoir	NW			routine 0x28A90
336	Edge of Reservoir	DOWN			routine 0x28B00
336	Edge of Reservoir	IN			routine 0x28A98
344	Bottom of Scaffold	N			routine 0x25960
344	Bottom of Scaffold	S	476	South Beach	if #190 (sliding doors) is OPEN
344	Bottom of Scaffold	UP			routine 0x25960
344	Bottom of Scaffold	OUT	476	South Beach	if #190 (sliding doors) is OPEN
345	Icehouse	E			routine 0x28358
345	Icehouse	UP			routine 0x28358
345	Icehouse	OUT			routine 0x28358
352	Closet	S	442	Assembly Room	if #100 (closet door) is OPEN
352	Closet	OUT	442	Assembly Room	if #100 (closet door) is OPEN
353	Barrow	N			routine 0x233B4
353	Barrow	S			routine 0x234E8
353	Barrow	DOWN			routine 0x23500
353	Barrow	IN			routine 0x111D0
353	Barrow	OUT			routine 0x111DC
354	Broad Walk	N	355	Black Lion Gate	
354	Broad Walk	NE	531	Inverness Terrace	
354	Broad Walk	E	144	Round Pond	
354	Broad Walk	SE	79	The Wabe	
354	Broad Walk	S	236	Palace Gate	
354	Broad Walk	SW			routine 0x17388
354	Broad Walk	W			routine 0x17394
354	Broad Walk	NW			routine 0x17388
354	Broad Walk	OUT			routine 0x22278
355	Black Lion Gate	N			routine 0x22104
355	Black Lion Gate	NE			routine 0x17388
355	Black Lion Gate	E	531	Inverness Terrace	
355	Black Lion Gate	SE	144	Round Pond	
355	Black Lion Gate	S	354	Broad Walk	
355	Black Lion Gate	SW			routine 0x17388
355	Black Lion Gate	W			routine 0x17388
355	Black Lion Gate	NW			routine 0x17388
355	Black Lion Gate	IN			routine 0x111D0
355	Black Lion Gate	OUT			routine 0x22104
370	Promontory	N			routine 0x1153C
370	Promontory	NE			routine 0x1153C
370	Promontory	E			routine 0x1153C
370	Promontory	SE	306	Chasm's Brink	
370	Promontory	S	42	North Bog	
370	Promontory	SW			routine 0x1153C
370	Promontory	W			routine 0x1153C
370	Promontory	NW			routine 0x1153C
370	Promontory	IN			routine 0x22C74
370	Promontory	OUT			routine 0x22C88
371	Lancaster Walk	N	179	Lancaster Gate	
371	Lancaster Walk	NE			routine 0x22894
371	Lancaster Walk	E			routine 0x22894
371	Lancaster Walk	SE			routine 0x22894
371	Lancaster Walk	S	250	Flower Walk	
371	Lancaster Walk	SW	79	The Wabe	
371	Lancaster Walk	W	144	Round Pond	
371	Lancaster Walk	NW	531	Inverness Terrace	
371	Lancaster Walk	OUT			routine 0x22278
372	Southeast of Ranch	N	573	Front Yard	
372	Southeast of Ranch	NE			routine 0x17410
372	Southeast of Ranch	E	559	South of Reservoir	
372	Southeast of Ranch	SE	222	Foothills	
372	Southeast of Ranch	S	222	Foothills	
372	Southeast of Ranch	SW	239	Desert	
372	Southeast of Ranch	W	515	Southwest of Ranch	
372	Southeast of Ranch	NW	477	Southeast Yard	if #367 (iron gate) is OPEN
372	Southeast of Ranch	IN	477	Southeast Yard	if #367 (iron gate) is OPEN
380	Tundra	E	320	Tundra	
380	Tundra	SE	488	Under Platform	
380	Tundra	S	188	Tundra	
380	Tundra	SW			routine 0x25024
380	Tundra	W			routine 0x25024
381	Northeast of Tower	N	180	Foothills	
381	Northeast of Tower	NE	180	Foothills	
381	Northeast of Tower	E	225	Foothills	
381	Northeast of Tower	SE	225	Foothills	
381	Northeast of Tower	S	290	East of Tower	
381	Northeast of Tower	SW	146	Base of Tower	
381	Northeast of Tower	W	296	North of Tower	
381	Northeast of Tower	NW	465	Desert	
382	Paved Road	N	466	South of Tower	
382	Paved Road	NE	239	Desert	
382	Paved Road	E	239	Desert	
382	Paved Road	SE	239	Desert	
382	Paved Road	S	226	Paved Road	
382	Paved Road	SW	510	Desert	
382	Paved Road	W	510	Desert	
382	Paved Road	NW	510	Desert	
394	Scaffold	S			routine 0x25858
394	Scaffold	DOWN			routine 0x25858
394	Scaffold	IN			routine 0x2586C
400	Under Cliff	N			routine 0x173B8
400	Under Cliff	NE			routine 0x173B8
400	Under Cliff	E	441	Crater's Edge	
400	Under Cliff	SE	471	Moor	
400	Under Cliff	S	557	The Bend	
400	Under Cliff	SW	575	Bottom of Stairs	
400	Under Cliff	W	306	Chasm's Brink	
400	Under Cliff	NW			routine 0x173B8
408	Top of Arbor	N	4	North Arbor	
408	Top of Arbor	NE			routine 0x24A00
408	Top of Arbor	E			routine 0x24A00
408	Top of Arbor	SE			routine 0x24A00
408	Top of Arbor	S	430	South Arbor	
408	Top of Arbor	SW			routine 0x24A00
408	Top of Arbor	W			routine 0x24A00
408	Top of Arbor	NW			routine 0x24A00
408	Top of Arbor	DOWN			routine 0x111E8
408	Top of Arbor	IN			routine 0x111D0
408	Top of Arbor	OUT			routine 0x111DC
414	Cemetery	N	353	Barrow	if #445 (spiked door) is OPEN
414	Cemetery	NE			routine 0x1153C
414	Cemetery	E			routine 0x1153C
414	Cemetery	SE			routine 0x1153C
414	Cemetery	S			routine 0x23188
414	Cemetery	SW			routine 0x1153C
414	Cemetery	W			routine 0x1153C
414	Cemetery	NW			routine 0x1153C
414	Cemetery	DOWN			routine 0x23188
414	Cemetery	IN	353	Barrow	if #445 (spiked door) is OPEN
417	Herb Garden	N			routine 0x173AC
417	Herb Garden	NE			routine 0x173AC
417	Herb Garden	E			routine 0x173AC
417	Herb Garden	SE			routine 0x173AC
417	Herb Garden	S			routine 0x173AC
417	Herb Garden	SW			routine 0x173AC
417	Herb Garden	W	327	Cottage	if #533 (back door) is OPEN
417	Herb Garden	NW			routine 0x173AC
417	Herb Garden	IN			routine 0x23014
418	Arborvitaes	N			routine 0x173C4
418	Arborvitaes	NE			routine 0x173C4
418	Arborvitaes	E			routine 0x173C4
418	Arborvitaes	SE			routine 0x173C4
418	Arborvitaes	S			routine 0x173C4
418	Arborvitaes	SW			routine 0x173C4
418	Arborvitaes	W	462	Arboretum	
418	Arborvitaes	NW	317	Trellises	
425	Earth Orbit	N			routine 0x24D24
425	Earth Orbit	NE			routine 0x24D24
425	Earth Orbit	E			routine 0x24D24
425	Earth Orbit	SE			routine 0x24D24
425	Earth Orbit	S			routine 0x24D24
425	Earth Orbit	SW			routine 0x24D24
425	Earth Orbit	W			routine 0x24D24
425	Earth Orbit	NW			routine 0x24D24
425	Earth Orbit	UP			routine 0x24D24
425	Earth Orbit	DOWN			routine 0x24D24
425	Earth Orbit	IN			routine 0x111D0
425	Earth Orbit	OUT			routine 0x111DC
